"customer_id","income","total_spend","web_purchases","catalog_purchases","store_purchases","recency_days","response","cluster","segment"
5524,58138,1617,8,10,4,58,1,2,"Potential Upgraders"
2174,46344,27,1,1,2,38,0,1,"Premium Loyalists"
4141,71613,776,8,2,10,26,0,4,"Inactive Low-Value"
6182,26646,53,2,0,4,26,0,1,"Premium Loyalists"
5324,58293,422,5,3,6,94,0,3,"Price Sensitive"
7446,62513,716,6,4,10,16,0,4,"Inactive Low-Value"
965,55635,590,7,3,7,34,0,4,"Inactive Low-Value"
6177,33454,169,4,0,4,32,0,1,"Premium Loyalists"
4855,30351,46,3,0,2,19,1,1,"Premium Loyalists"
5899,5648,49,1,0,0,68,0,3,"Price Sensitive"
387,7500,61,2,0,3,59,0,3,"Price Sensitive"
2125,63033,1102,3,4,8,82,0,2,"Potential Upgraders"
8180,59354,310,6,1,5,53,0,4,"Inactive Low-Value"
2569,17323,46,1,0,3,38,0,1,"Premium Loyalists"
2114,82800,1315,7,6,12,23,1,2,"Potential Upgraders"
9736,41850,96,3,0,3,51,0,3,"Price Sensitive"
4939,37760,317,4,1,6,20,0,1,"Premium Loyalists"
6565,76995,1782,11,4,9,91,0,2,"Potential Upgraders"
2278,33812,133,2,1,3,86,0,3,"Price Sensitive"
9360,37040,316,4,2,5,41,0,1,"Premium Loyalists"
5376,2447,1730,0,28,0,42,0,2,"Potential Upgraders"
1993,58607,972,2,3,9,63,0,4,"Inactive Low-Value"
4047,65324,544,6,2,9,0,0,4,"Inactive Low-Value"
1409,40689,444,7,1,5,69,0,4,"Inactive Low-Value"
7892,18589,75,2,1,3,89,0,3,"Price Sensitive"
2404,53359,257,5,1,4,4,0,1,"Premium Loyalists"
9422,38360,131,2,1,4,26,0,1,"Premium Loyalists"
1966,84618,1672,6,9,10,96,0,2,"Potential Upgraders"
6864,10979,30,3,0,3,34,0,1,"Premium Loyalists"
3033,38620,318,2,5,3,56,0,3,"Price Sensitive"
5710,40548,120,2,1,4,31,0,1,"Premium Loyalists"
7373,46610,302,4,1,6,8,1,1,"Premium Loyalists"
8755,68657,1196,3,5,9,4,0,2,"Potential Upgraders"
10738,49389,65,2,0,3,55,0,3,"Price Sensitive"
4339,67353,913,5,6,12,37,0,2,"Potential Upgraders"
10755,23718,81,3,1,2,76,0,3,"Price Sensitive"
